(train) station,電車の駅,1-0-2,名詞,
a,"一つの, 一人の",1-2-1,冠詞,25
a week,一週間,1-3-3,名詞,
about,について,1-3-1,前置詞,30
afternoon,午後,1-4-1,名詞,38
also,～もまた、さらに,1-4-2,副詞,41
am,"1.（私は）～です、である; 2.（私は）～にいる, 所属にしている",1-2-1,動詞,"24, 44"
America,アメリカ,1-2-1,名詞,
an,"一つの、一人の (a,e,i,o,uの始まる言葉）",1-4-2,冠詞,40
apple,リンゴ,1-1-1,名詞,16
are,(You / We / They) ～です,1-2-1,動詞,24
badminton,バドミントン,1-2-1,名詞,
bag,バッグ、袋,1-0-3,名詞,16
ball,ボール,1-0-3,名詞,42
baseball,野球,1-2-1,名詞,27
basketball,バスケットボール,1-0-4,名詞,26
bed,ベッド,1-0-4,名詞,57
bike,自転車,1-0-3,名詞,82
black,黒い,1-0-3,名詞、形容詞,107
blue,青、青い,1-0-3,名詞、形容詞,"60,106"
book,本,1-0-3,名詞,"(23,34), 40"
,,,,
bookstore,本屋,1-0-2,名詞,
bottle,ボトル、ビン,1-4-2,名詞,41
box,箱,1-0-3,名詞,37
breakfast,朝食,1-4-1,名詞,"(34), 38"
but,しかし,1-3-2,接続詞,33
cake,ケーキ,1-0-4,名詞,16
,,,,
camera,カメラ,1-4-3,名詞,42
Canada,カナダ,1-3-1,名詞,31
cap,１．(ふちのない）帽子；２.（びんなどの）キャップ,1-0-3,名詞,37
cat,ネコ,1-0-3,名詞,16
,,,,
CD(s),,1-4-2,,
cheese,,1-0-4,,
chicken,,1-0-4,,
city,,1-1-1,,
class,,1-4-2,,
clean,,1-3-3,,
close,,1-3-3,,
cloudy,,1-3-3,,
coffee,,1-3-2,,
cola,,1-3-2,,
collect,,1-4-2,,
come,,1-3-1,,
come from ~,,1-3-1,,
convenience store,,1-0-2,,
cook,,1-3-3,,
cook curry,,1-0-4,,
cup,,1-0-3,,
day,,1-4-1,,
do,,1-3-2,,
dog,,1-0-3,,
dog,,1-1-1,,
don't,(do not),1-3-2,,
door,,1-0-3,,
drink,,1-3-2,,
eat,,1-3-2,,
eat natto,,1-0-4,,
egg,,1-1-1,,
eight,8,1-0-3,,
elephant,,1-0-2,,
eleven,11,1-0-3,,
English,Japanese,Unit,Part of Speech,Text Book Page
English,,1-3-1,,
English,,1-3-1,,
evening,,1-1-1,,
everyone,,1-3-1,,
Excuse me.,,1-3-2,,
fan,,1-2-1,,
fine arts,,1-3-1,,
"Fine, thank you",,1-0-1,,
fire station,,1-0-2,,
fish,,1-1-1,,
five,5,1-0-3,,
flower shop,,1-0-2,,
food,,1-1-1,,
food,,1-3-2,,
for,,1-4-1,,
four,4,1-0-3,,
French,,1-3-1,,
Friday,,1-3-3,,
from,,1-2-1,,
giant,,1-1-1,,
girl,,1-1-1,,
Good afternoon,,1-0-1,,
Good evening,,1-0-1,,
Good morning,,1-0-1,,
Goodbye,,1-0-1,,
goodbye,,1-2-1,,
goodbye,,1-4-1,,
great,,1-4-2,,
green,,1-0-3,,
guitar,,1-3-1,,
handball,,1-2-1,,
hat,,1-0-3,,
have,,1-3-2,,
hello,,1-3-1,,
"Hello, everyone.",,1-0-1,,
here,,1-3-1,,
Here you are.,,1-0-1,,
hi,,1-2-1,,
home economics,,1-3-1,,
hospital,,1-0-2,,
hot,,1-3-2,,
house,,1-1-1,,
how,,1-3-1,,
How about ~?,,1-3-1,,
How are you?,,1-0-1,,
How many ~?,,1-4-3,,
How's the weather today?,,1-0-1,,
I,,1-2-1,,
I'm,,1-2-1,,
I'm from ~,,1-2-1,,
ice cream,,1-0-4,,
ice cream,,1-1-1,,
industrial arts,,1-3-1,,
Internet,,1-1-1,,
jacket,,1-0-3,,
Japan,,1-2-1,,
Japanese,,1-3-1,,
juice,,1-1-1,,
key,,1-0-3,,
key,,1-1-1,,
let's,,1-4-2,,
like,,1-3-1,,
lion,,1-1-1,,
