English	Japanese	Unit	Part of Speech	Text Book Page
Fine, thank you		1-0-1		
Good afternoon		2-2-1		
Good evening		3-3-1		
Good morning		1-0-1		
Goodbye		1-0-1		
Hello, everyone.		1-0-1		
Here you are.		1-0-1		
How are you?		1-0-1		
How's the weather today?		1-0-1		
Thank you (very much).		1-0-1		
(train) station	電車の駅	1-0-2	名詞	
bookstore	本屋	1-0-2	名詞	
convenience store		1-0-2		
elephant		1-0-2		
fire station		1-0-2		
flower shop		1-0-2		
hospital		1-0-2		
penguin		1-0-2		
police station		1-0-2		
post office		1-0-2		
restaurant		1-0-2		
school		1-0-2		
supermarket		1-0-2		
zoo		1-0-2		
bag	バッグ、袋	1-0-3	名詞	16
ball	ボール	1-0-3	名詞	42
bike	自転車	1-0-3	名詞	82
black	黒い	1-0-3	名詞、形容詞	107
blue	青、青い	1-0-3	名詞、形容詞	60,106
book	本	1-0-3	名詞	(23,34), 40
box	箱	1-0-3	名詞	37
cap	１．(ふちのない）帽子；２.（びんなどの）キャップ	1-0-3	名詞	37
cat	ネコ	1-0-3	名詞	16
cup		1-0-3		
dog		1-0-3		
door		1-0-3		
eight	8	1-0-3		
eleven	11	1-0-3		
five	5	1-0-3		
four	4	1-0-3		
green		1-0-3		
hat		1-0-3		
jacket		1-0-3		
key		1-0-3		
magazine		1-0-3		
nine	9	1-0-3		
notebook		1-0-3		
one	1	1-0-3		
orange		1-0-3		
pen		1-0-3		
pencil		1-0-3		
picture		1-0-3		
pink		1-0-3		
red		1-0-3		
seven	7	1-0-3		
six	6	1-0-3		
T-shirt		1-0-3		
ten	10	1-0-3		
three	3	1-0-3		
twelve	12	1-0-3		
two	2	1-0-3		
watch		1-0-3		
white		1-0-3		
yellow		1-0-3		
basketball	バスケットボール	1-0-4	名詞	26
bed	ベッド	1-0-4	名詞	57
cake	ケーキ	1-0-4	名詞	16
cheese		1-0-4		
chicken		1-0-4		
cook curry		1-0-4		
eat natto		1-0-4		
ice cream		1-0-4		
love		1-0-4		
music		1-0-4		
orange juice		1-0-4		
play badminton		1-0-4		
play baseball		1-0-4		
play basketball		1-0-4		
play shogi		1-0-4		
ride a unicycle		1-0-4		
run		1-0-4		
sing karaoke		1-0-4		
stand		1-0-4		
swim		1-0-4		
swimming		1-0-4		
tomato juice		1-0-4		
walk		1-0-4		
apple	リンゴ	1-1-1	名詞	16
city		1-1-1		
dog		1-1-1		
egg		1-1-1		
evening		1-1-1		
fish		1-1-1		
food		1-1-1		
giant		1-1-1		
girl		1-1-1		
house		1-1-1		
ice cream		1-1-1		
Internet		1-1-1		
juice		1-1-1		
key		1-1-1		
lion		1-1-1		
milk		1-1-1		
name		1-1-1		
nose		1-1-1		
orange		1-1-1		
pen		1-1-1		
quiz		1-1-1		
ribbon		1-1-1		
room		1-1-1		
room		1-1-1		
sun		1-1-1		
tennis		1-1-1		
umbrella		1-1-1		
uncle		1-1-1		
uniform		1-1-1		
volleyball		1-1-1		
volleyball		1-1-1		
watch		1-1-1		
yellow		1-1-1		
zoo		1-1-1		
a	一つの, 一人の	1-2-1	冠詞	25
am	1.（私は）～です、である; 2.（私は）～にいる, 所属にしている	1-2-1	動詞	24, 44
America	アメリカ	1-2-1	名詞	
are	(You / We / They) ～です	1-2-1	動詞	24
badminton	バドミントン	1-2-1	名詞	
baseball	野球	1-2-1	名詞	27
fan		1-2-1		
from		1-2-1		
goodbye		1-2-1		
handball		1-2-1		
hi		1-2-1		
I		1-2-1		
I'm		1-2-1		
I'm from ~		1-2-1		
Japan		1-2-1		
new		1-2-1		
Nice to meet you.		1-2-1		
no		1-2-1		
notebook		1-2-1		
oh		1-2-1		
soccer		1-2-1		
student		1-2-1		
table tennis		1-2-1		
too		1-2-1		
track and field		1-2-1		
yes		1-2-1		
you		1-2-1		
about	について	1-3-1	前置詞	30
Canada	カナダ	1-3-1	名詞	31
come		1-3-1		
come from ~		1-3-1		
English		1-3-1		
English		1-3-1		
everyone		1-3-1		
fine arts		1-3-1		
French		1-3-1		
guitar		1-3-1		
hello		1-3-1		
here		1-3-1		
home economics		1-3-1		
how		1-3-1		
How about ~?		1-3-1		
industrial arts		1-3-1		
Japanese		1-3-1		
like		1-3-1		
math		1-3-1		
much		1-3-1		
music		1-3-1		
music		1-3-1		
P.E.		1-3-1		
piano		1-3-1		
play		1-3-1		
science		1-3-1		
social studies		1-3-1		
speak		1-3-1		
the		1-3-1		
very		1-3-1		
very much		1-3-1		
but	しかし	1-3-2	接続詞	33
coffee		1-3-2		
cola		1-3-2		
do		1-3-2		
don't	(do not)	1-3-2		
drink		1-3-2		
eat		1-3-2		
Excuse me.		1-3-2		
food		1-3-2		
have		1-3-2		
hot		1-3-2		
love		1-3-2		
Mr.		1-3-2		
Ms.		1-3-2		
question		1-3-2		
read		1-3-2		
tea		1-3-2		
tomato juice		1-3-2		
vegetable juice		1-3-2		
a week	一週間	1-3-3	名詞	
clean		1-3-3		
close		1-3-3		
cloudy		1-3-3		
cook		1-3-3		
Friday		1-3-3		
make		1-3-3		
Monday		1-3-3		
open		1-3-3		
rainy		1-3-3		
Saturday		1-3-3		
sing		1-3-3		
study		1-3-3		
Sunday		1-3-3		
sunny		1-3-3		
take		1-3-3		
Thursday		1-3-3		
touch		1-3-3		
Tuesday		1-3-3		
use		1-3-3		
wash		1-3-3		
Wednesday		1-3-3		
week		1-3-3		
write		1-3-3		
afternoon	午後	1-4-1	名詞	38
breakfast	朝食	1-4-1	名詞	(34), 38
day		1-4-1		
for		1-4-1		
goodbye		1-4-1		
listen		1-4-1		
listen to		1-4-1		
my		1-4-1		
on		1-4-1		
park		1-4-1		
really		1-4-1		
recycling		1-4-1		
rice		1-4-1		
to		1-4-1		
usually		1-4-1		
we		1-4-1		
what		1-4-1		
also	～もまた、さらに	1-4-2	副詞	41
an	一つの、一人の (a,e,i,o,uの始まる言葉）	1-4-2	冠詞	40
bottle	ボトル、ビン	1-4-2	名詞	41
CD(s)		1-4-2		
class		1-4-2		
collect		1-4-2		
great		1-4-2		
let's		1-4-2		
magazine		1-4-2		
newspaper		1-4-2		
next		1-4-2		
OK		1-4-2		
pencil(s)		1-4-2		
together		1-4-2		
camera	カメラ	1-4-3	名詞	42
How many ~?		1-4-3		
lot		1-4-3		
many		1-4-3		
of		1-4-3		
