English	Japanese	Unit	Part of Speech	Text Book Page
a	一つの, 一人の	1-2-1	冠詞	25
am	1.（私は）～です、である; 2.（私は）～にいる, 所属にしている	1-2-1	動詞	24, 44
America	アメリカ	1-2-1	名詞	
are	(You / We / They) ～です	1-2-1	動詞	24
badminton	バドミントン	1-2-1	名詞	
baseball	野球	1-2-1	名詞	27
fan		1-2-1		
from		1-2-1		
goodbye		1-2-1		
handball		1-2-1		
hi		1-2-1		
I		1-2-1		
I'm		1-2-1		
I'm from ~		1-2-1		
Japan		1-2-1		
new		1-2-1		
Nice to meet you.		1-2-1		
no		1-2-1		
notebook		1-2-1		
oh		1-2-1		
soccer		1-2-1		
student		1-2-1		
table tennis		1-2-1		
too		1-2-1		
track and field		1-2-1		
yes		1-2-1		
you		1-2-1		
